フルーツサラダ	fruits salad
クリティカルパス	critical path
ダークホース	dark horse
ルームチャージ	room charge
ライスワーク	rice work
アベイラブルビットレイト	available bit rate
スリップオン	slip on
コートハンガー	coat hanger
アイスパック	ice bag
ニッケルカドミウム	nickel cadmium
フォーラムディスカッション	forum discussion
ハンドスピナー	fidget spinner
ユニバーサルタイム	universal time
シャドーバンキング	shadow banking
エメラルドツリーモニター	emerald tree monitor
フィージビリティースタディー	feasibility study
コーヒーショップ	coffee shop
ファミリーライフサイクル	family life cycle
カラーガード	color guard
ディメンションメンバプロパティ	dimension member property
チキンライス	chicken rice
コーンチャウダー	corn chowder
クリアエリア	clear area
システムソフトウェア	system software
ユーザーネームー	user name
バードサンクチュアリー	bird sanctuary
ユニットバス	unit bath
パラメタバイト	parameter byte
コンバインハーベスター	combine harvester
エレクトロニックメール	electronic mail
ジューンブライド	june bride
アフガンハウンド	afghan hound
クイックランチ	quick lunch
ランディングゾーン	landing zone
デジタルシンセサイザー	digital synthesizer
グループセックス	group sex
オーバレイモデル	overlay model
レプリカセットトポロジ	replica set topology
ウィニングショット	winning shot
チェリートマト	cherry tomato
プライマリリング	primary ring
クリスプブレッド	crisp bread
タッチアップ	tag up
フィンスイミング	fin swimming
フレームシーケンス	frame sequence
マニキュアフィンガー	manicure finger
ゲームセット	game set
アスピリンスノー	aspirin snow
シートシャッター	sheet shutter
オーバーネット	over net
ラッキーセブン	lucky seven
ドラフトビール	draft beer
ヤングタウン	young town
ワークステーションウィンドウ	workstation window
レモンサワー	lemon sour
ネオンサイン	neon sign
ハンドクリーム	hand cream
テレホンショッピング	telephone shopping
リーゼントスタイル	regent style
チェリーボーイ	cherry boy
エアポートタックス	airport tax
カーテンレクチャー	curtain lecture
ビーチバレー	beach volleyball
プロジェクトーマネージャー	project manager
ローラーゲーム	roller game
レターサイズ	letter size
ビフォーアフター	before after
シーレーン	sea lane
ビジュアルノベル	visual novel
スリークォーター	three quarter
フロアリングブロック	flooring block
オープンフレーム	open frame
アダルトビデオ	adult video
サンキュー	thank you
タイトルチューン	title tune
アイスアリーナ	ice arena
フォロースルー	follow through
ボーナスステージ	bonus stage
デーゲーム	day game
トレールランニング	trail running
エアバッグ	air bag
ゼロサプレス	zero suppress
ウィングチェア	wing chair
アニメーションキャラクター	animation character
キャッシュフロー	cash flow
ソフトハイフン	soft hyphen
バーストモード	burst mode
アルゼンチンタンゴ	argentine tango
ローキック	low kick
ネットワークアダプタ	network adapter
メッセージタイトル	message title
デイホーム	day home
ボローニャソーセージ	bologna sausage
デスマッチ	death match
セントキッツネイビス	saint kitts nevis
ハードトレーニグ	hard training
ソロデビュー	solo debut
アレイプロセッサー	array processor
フルーツポンチ	fruits punch
マグネットスクール	magnet school
スリムアップ	slim up
ヒューマンインターフェース	human interface
バルキーセーター	bulky sweater
フェアコピー	fair copy
ガイドピンスクリュー	guide pin screw
カフスカバー	cuffs cover
ポールポジション	pole position
テレビジョンドアホン	television door phone
コールドミート	cold meat
フィールドホッケー	field hockey
トランクタイプ	trunk type
アプリケーションフレームワーク	application framework
モックアップ	mock up
エラーコード	error code
リーターンエース	return ace
パイレーツパンツ	pirate's pants
プレーンテキスト	plain text
トータルプロダクト	total product
